DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,LOG RETURNS,Price,Signal
2021-02-16,EQ,412.0,415.75,400.3,406.95,402.9,402.35,407.39,415.75,149.45,80365431,32739856842.5,574557,SBIN,-0.023094012465607605,392.49090909090904,True
2021-02-15,EQ,397.5,409.45,395.7,393.15,409.0,406.95,403.08,409.45,149.45,56608937,22817866647.7,439746,SBIN,0.011367971180908043,394.30227272727274,True
2021-02-12,EQ,391.0,399.35,385.55,390.15,392.95,393.15,392.34,408.35,149.45,53589755,21025151735.35,406441,SBIN,-0.03449910933552491,395.43863636363636,False
2021-02-11,EQ,391.8,396.95,388.25,392.25,390.9,390.15,391.61,408.35,149.45,36392708,14251581159.75,263431,SBIN,-0.007659937874755052,395.96590909090907,False
2021-02-10,EQ,394.05,397.9,388.0,394.8,393.15,392.25,392.67,408.35,149.45,54163507,21268236419.55,395057,SBIN,0.0053681110503713825,396.34545454545446,False
2021-02-09,EQ,396.75,403.5,389.0,397.05,393.6,394.8,396.65,408.35,149.45,63869990,25334226190.8,473516,SBIN,0.006479915946185244,396.96818181818185,False
2021-02-08,EQ,398.0,407.8,394.75,393.1,395.85,397.05,400.46,408.35,149.45,79389205,31791940012.35,577218,SBIN,0.005682909781893564,397.3931818181818,False
2021-02-05,EQ,387.0,408.35,385.15,355.1,395.0,393.1,397.71,408.35,149.45,214955688,85490825741.15,1155236,SBIN,-0.009998184913405872,397.6431818181818,False
2021-02-04,EQ,334.4,358.0,331.1,335.95,357.95,355.1,343.11,358.0,149.45,145203439,49821324982.7,799597,SBIN,-0.10166459247877224,396.075,False
2021-02-03,EQ,333.75,339.9,325.8,333.1,335.75,335.95,334.1,339.9,149.45,66420168,22190882737.05,464739,SBIN,-0.05543710058288287,393.90681818181815,False
2021-02-02,EQ,315.0,337.4,315.0,310.7,331.4,333.1,325.89,337.4,149.45,121434166,39573855924.2,696797,SBIN,-0.00851959416652548,391.06363636363636,False
2021-02-01,EQ,285.1,313.9,282.75,282.1,313.0,310.7,300.59,331.9,149.45,103414068,31085667892.6,571788,SBIN,-0.06961492880063247,386.77500000000003,False
2021-01-29,EQ,285.6,290.65,279.1,282.35,281.75,282.1,283.48,331.9,149.45,42300984,11991282593.15,257824,SBIN,-0.0965661983910504,381.67954545454546,False
2021-01-28,EQ,271.9,283.35,269.5,275.65,282.9,282.35,277.04,331.9,149.45,48717297,13496676252.6,280797,SBIN,0.0008858181108948315,376.56136363636364,False
2021-01-27,EQ,280.2,284.85,272.7,280.95,275.0,275.65,278.67,331.9,149.45,39211107,10926769347.95,275743,SBIN,-0.02401549108315315,371.3568181818182,False
2021-01-25,EQ,284.5,288.0,277.05,283.7,281.0,280.95,283.38,331.9,149.45,34034630,9644829100.75,246225,SBIN,0.019044772522514464,365.6159090909091,False
2021-01-22,EQ,295.5,298.0,282.4,294.85,284.4,283.7,289.3,331.9,149.45,44440810,12856679880.75,287829,SBIN,0.009740624256598274,360.04545454545456,False
2021-01-21,EQ,304.0,305.15,291.5,302.55,296.8,294.85,300.2,331.9,149.45,29995203,9004513072.45,214429,SBIN,0.038549410631707914,355.46590909090907,False
2021-01-20,EQ,298.8,304.7,296.85,298.6,302.2,302.55,301.07,331.9,149.45,33759304,10163981891.75,215324,SBIN,0.02577980062181684,351.51363636363635,False
2021-01-19,EQ,297.65,302.5,296.4,294.45,298.4,298.6,299.11,331.9,149.45,35803901,10709241852.55,226098,SBIN,-0.013141667963240344,346.925,False
2021-01-18,EQ,303.5,308.65,292.2,303.85,292.45,294.45,299.23,331.9,149.45,54969750,16448326413.65,332808,SBIN,-0.013995675714510547,341.43636363636364,False
2021-01-15,EQ,306.8,310.9,301.3,307.25,303.95,303.85,306.2,335.45,149.45,35307601,10811333841.95,277615,SBIN,0.03142494919078498,336.53181818181815,False
2021-01-14,EQ,306.7,309.25,303.8,306.8,307.7,307.25,307.16,335.45,149.45,40123498,12324150077.5,244731,SBIN,0.01112758986478024,332.2090909090909,False
2021-01-13,EQ,296.0,308.0,294.5,292.5,305.95,306.8,301.17,335.45,149.45,78042133,23503978223.25,413038,SBIN,-0.0014656789530436143,327.65681818181815,False
2021-01-12,EQ,280.0,293.85,277.9,282.5,293.2,292.5,286.89,335.45,149.45,44307145,12711419183.25,275857,SBIN,-0.047731402821189484,323.08181818181816,False
2021-01-11,EQ,288.0,288.2,279.6,286.0,282.8,282.5,282.5,335.45,149.45,29703173,8391026797.05,209864,SBIN,-0.034786116085415486,318.18863636363636,False
2021-01-08,EQ,290.1,291.4,285.2,287.7,285.9,286.0,288.25,337.95,149.45,32543357,9380501388.85,169736,SBIN,0.012313260233356438,313.35909090909087,False
2021-01-07,EQ,289.0,291.8,287.0,285.05,288.0,287.7,289.15,337.95,149.45,30546600,8832501855.1,183684,SBIN,0.005926459737650269,308.4909090909091,False
2021-01-06,EQ,283.0,289.15,281.4,281.75,283.9,285.05,285.76,337.95,149.45,40765708,11649073628.1,224327,SBIN,-0.009253667079911487,303.40000000000003,False
2021-01-05,EQ,278.05,282.45,277.0,281.05,281.4,281.75,279.69,337.95,149.45,27393072,7661574303.75,155149,SBIN,-0.011644450557705355,298.33863636363634,False
2021-01-04,EQ,281.85,283.9,277.75,279.4,281.1,281.05,281.41,337.95,149.45,31450608,8850464058.45,171760,SBIN,-0.0024875634718020123,294.97272727272724,False
2021-01-01,EQ,274.9,280.0,274.4,274.95,279.05,279.4,278.33,339.85,149.45,24531791,6827968257.8,141601,SBIN,-0.0058881426252224145,292.4022727272727,False
